NOMBRE_EMPRESA;year;month;SINI_PAG_VS_PRIM_PCT;RESERVAS_VS_PRIM_PCT;SINI_INC_VS_PRIM_DEV_PCT;COMISION_VS_PRIM_PCT;GAST_ADQ_VS_PRIM_PCT;GAST_ADM_VS_PRIM_PCT;COSTO_REAS_VS_PRIM_DEV_PCT;TASA_COMBINADA_PCT;INDICE_COB_RESERVAS;archivo_fuente;hoja
Adriática de Seguros, C.A.;2015;1;0.948115789718404;775.132490586205;17.4253369104095;339.69231831126;206.442689426127;;;;;indices-por-empresa-2015.xlsx;Ene
Altamira C.A., Seguros;2015;1;44.9331218238269;156.976194675716;11.1640030187262;10.4719859165697;1.44817440411652;;;;;indices-por-empresa-2015.xlsx;Ene
American International, C.A. de Seguros;2015;1;13.4552064559868;149.551856921281;15.7612819337459;18.1475985793236;2.09065324738421;;;;;indices-por-empresa-2015.xlsx;Ene
Andes C.A., Seguros Los;2015;1;82.857269814924;165.421096370477;18.6813095662389;21.5985788917076;2.05267540294706;;;;;indices-por-empresa-2015.xlsx;Ene
Aseguradora Nacional Unida Uniseguros, S.A.;2015;1;25.9192659353741;99.3991270907311;14.7486156695787;9.1319371882197;1.36401324318727;;;;;indices-por-empresa-2015.xlsx;Ene
Atrio Seguros C.A., (antes Seguros Comerciales Bolívar);2015;1;0.237216756279001;67.6722899652985;18.8908479143993;49.4127709453612;1.00857732939743;;;;;indices-por-empresa-2015.xlsx;Ene
Ávila C.A., de Seguros;2015;1;12.7998893284206;41.8690421868005;19.1912943877606;45.5547343833668;1.96117967544483;;;;;indices-por-empresa-2015.xlsx;Ene
Banesco Seguros C.A.;2015;1;47.0330841813311;364.260550540553;17.6829776374725;18.7076309729653;1.15421076680905;;;;;indices-por-empresa-2015.xlsx;Ene
Bolivariana de Seguros y Reaseguros, C.A.;2015;1;13.8577241267764;472.086884689919;0;37.8923106118597;3.32951683007853;;;;;indices-por-empresa-2015.xlsx;Ene
Carabobo C.A., Seguros;2015;1;42.8605885007685;513.932709240825;14.785930196544;16.3139790807745;2.9355729850025;;;;;indices-por-empresa-2015.xlsx;Ene
Caracas de Liberty Mutual C.A., Seguros;2015;1;26.8517476292489;257.652525975367;17.9243893096552;12.7898575224211;1.22010031593172;;;;;indices-por-empresa-2015.xlsx;Ene
Caroní, C.A., Seguros;2015;1;83.4884668707164;174.408722958251;15.2099616642572;8.48261638145839;1.99306946931434;;;;;indices-por-empresa-2015.xlsx;Ene
Catatumbo C.A., Seguros;2015;1;47.8440773171005;169.065878839106;19.1614958024032;16.725895976136;2.13680467042789;;;;;indices-por-empresa-2015.xlsx;Ene
Constitución C.A., Seguros;2015;1;59.3026109351566;244.266330365145;4.4117164094243;24.0884722341518;3.86647545579537;;;;;indices-por-empresa-2015.xlsx;Ene
Corporativos C.A., Seguros;2015;1;5.20735753821391;360.972623037381;0.804993140623173;33.0347346108836;2.58375038729654;;;;;indices-por-empresa-2015.xlsx;Ene
Estar Seguros, S.A. (antes Royal & Sunalliance, S.A.);2015;1;32.6106059079727;173.426195308342;20.7294773098475;18.5746722978706;1.32938338776705;;;;;indices-por-empresa-2015.xlsx;Ene
Fé C.A., Seguros La;2015;1;28.7512131210266;46.7804355351223;5.40223709868643;7.42584367221191;5.83845681553792;;;;;indices-por-empresa-2015.xlsx;Ene
Federal C.A., Seguros;2015;1;89.0532697286818;989.755797216909;8.37225784381614;11.2479113339521;0.211742648363025;;;;;indices-por-empresa-2015.xlsx;Ene
Guayana C.A., Seguros;2015;1;27.4670253216428;209.668939759227;12.8648282906821;22.5952007508205;10.4020112731009;;;;;indices-por-empresa-2015.xlsx;Ene
Hispana de Seguros, C.A.;2015;1;9.9772649780343;69.8683247611775;22.4484916510797;25.6060449955188;4.10813973474138;;;;;indices-por-empresa-2015.xlsx;Ene
Horizonte, C.A. Seguros;2015;1;85.9352959495342;117.485580596015;0.352542910748886;50.9789297606807;7.2537103658639;;;;;indices-por-empresa-2015.xlsx;Ene
Iberoamericana de Seguros C.A.;2015;1;25.2115682555712;117.648465051299;7.47500971853114;10.2544353908598;1.27054968231978;;;;;indices-por-empresa-2015.xlsx;Ene
Interbank Seguros S.A.;2015;1;28.175055284235;133.113326151421;17.8327850227969;18.0175458908116;6.54059209678792;;;;;indices-por-empresa-2015.xlsx;Ene
Internacional, C.A. de Seguros La;2015;1;-14.1576587410449;132.838296994401;26.6318483690451;27.6083559130751;2.61069015431754;;;;;indices-por-empresa-2015.xlsx;Ene
Mapfre La Seguridad, C.A. de Seguros;2015;1;41.1580915713508;192.836681323014;12.1941728191866;12.5243520865336;1.3324162668956;;;;;indices-por-empresa-2015.xlsx;Ene
Mercantil C.A., Seguros;2015;1;28.9811898203395;152.476049899807;13.6330721642838;13.6360554698095;1.08659484951067;;;;;indices-por-empresa-2015.xlsx;Ene
Multinacional de Seguros C.A.;2015;1;25.5822299351843;233.434887904205;14.8445662818386;12.6967952952154;5.23105444960971;;;;;indices-por-empresa-2015.xlsx;Ene
Mundial, C.A.V. de Seguros de Crédito La;2015;1;-13.6825776538532;182.523088241794;5.50469839971456;77.8889720173027;8.60566882664716;;;;;indices-por-empresa-2015.xlsx;Ene
Nuevo Mundo S.A., Seguros;2015;1;40.3401846597902;141.739561034803;18.6413853703959;17.1512210215985;12.1611311699733;;;;;indices-por-empresa-2015.xlsx;Ene
Occidental C.A., Seguros La;2015;1;85.1557871181466;503.753689199884;19.0669956440042;20.3247208040398;1.31168944374953;;;;;indices-por-empresa-2015.xlsx;Ene
Oceánica de Seguros, C.A. (antes Grasp, C.A.);2015;1;6.96871110626634;192.277554183639;13.6938043132067;26.8505074288727;1.3750291644558;;;;;indices-por-empresa-2015.xlsx;Ene
Oriental de Seguros C.A., La;2015;1;33.6725638933066;157.396569545029;22.291976742316;24.2396100122721;2.40750850847348;;;;;indices-por-empresa-2015.xlsx;Ene
Pirámide C.A., Seguros;2015;1;27.9672486438271;119.30120476634;7.57519859841841;12.9063373983028;1.05449280298382;;;;;indices-por-empresa-2015.xlsx;Ene
Previsora, C.N.A. de Seguros La;2015;1;37.3339282812297;188.834567330677;9.23644562930189;24.980229830224;0.597101426506353;;;;;indices-por-empresa-2015.xlsx;Ene
Primus Seguros C.A.;2015;1;0;20563.4025832206;0;2133.83396653994;5.72991025129096;;;;;indices-por-empresa-2015.xlsx;Ene
Proseguros, S.A.;2015;1;36.6115332092104;250.759963750073;19.8898359190646;17.3700001997172;1.95693811497859;;;;;indices-por-empresa-2015.xlsx;Ene
Provincial S.A., Seguros;2015;1;10.9726677920733;104.912969210673;0;51.9742928496533;4.76597814351636;;;;;indices-por-empresa-2015.xlsx;Ene
Qualitas C.A., Seguros;2015;1;48.0422814642322;80.5045098489826;11.8974323732579;11.0509839826639;2.19495779814905;;;;;indices-por-empresa-2015.xlsx;Ene
Regional, C.A. de Seguros La 1/;2015;1;0;0;0;0;0;;;;;indices-por-empresa-2015.xlsx;Ene
Universal de Seguros C.A.;2015;1;5.80287203554549;55.0406647715514;11.9371776786391;15.6914430312398;1.65404161478573;;;;;indices-por-empresa-2015.xlsx;Ene
Universitas, C.A. Seguros;2015;1;48.1119510232993;204.104111211041;15.8926919979596;20.2981751009644;1.53177496228107;;;;;indices-por-empresa-2015.xlsx;Ene
Venezolana de Seguros y Vida C.A., La;2015;1;30.5852622134426;114.519049149222;10.9243056713788;16.2799153520614;1.40857691739306;;;;;indices-por-empresa-2015.xlsx;Ene
Venezuela C.A., Seguros;2015;1;39.0819280955309;96.6939506505542;8.21734013384888;26.8466861921816;3.27331139547934;;;;;indices-por-empresa-2015.xlsx;Ene
Virgen del Valle C.A., Seguros;2015;1;21.5277463700136;19.3801933430895;0;66.481121733894;4.17199132018012;;;;;indices-por-empresa-2015.xlsx;Ene
Vitalicia, C.A., Seguros La;2015;1;24.6092941240277;154.494921781159;21.3180759514944;16.8461097252106;1.57428721887068;;;;;indices-por-empresa-2015.xlsx;Ene
Vivir Seguros C.A., (antes Canarias de Venezuela C.A);2015;1;32.2243140910863;262.625573046463;16.5679177126809;24.6652096892037;2.18626536154099;;;;;indices-por-empresa-2015.xlsx;Ene
Zuma Seguros, C.A. (antes Bancentro C.A., Seguros );2015;1;18.1524586199252;275.793371483839;21.7097289022541;53.6644944489867;0.468031359630172;;;;;indices-por-empresa-2015.xlsx;Ene
Zurich Seguros, S.A.;2015;1;33.4037091481339;361.27624905285;11.0345705325464;39.2216701574397;1.73515621043074;;;;;indices-por-empresa-2015.xlsx;Ene
Adriática de Seguros, C.A.;2015;2;9.4819732320086;329.589949046296;17.5306780942286;403.849618570922;203.025832546786;;;;;indices-por-empresa-2015.xlsx;Feb
Altamira C.A., Seguros;2015;2;43.9486953568207;62.9218903735684;9.61021211700119;13.472020409607;1.24338865700314;;;;;indices-por-empresa-2015.xlsx;Feb
