NOMBRE_EMPRESA;PCT_SINIESTRALIDAD_PAGADA;PCT_COMISION_GASTOS_ADQUISICION;PCT_GASTOS_ADMINISTRACION;GASTOS_COBERTURA_RESERVAS;INDICE_UTILIDAD_PATRIMONIO
Adriática de Seguros C.A.;0;0;9567.823280978222;60.70606099259711;
Altamira C.A. Seguros;17.607485928901152;2.098977717777017;22.618353696158515;2.5628487173078365;
American International C.A. de Seguros;23.843319250875346;2.2446161039883523;133.29764244445573;2899.543055729067;
Andes C.A. Seguros;0;0;0;0;
Aseguradora Nacional Unida Uniseguros S.A.;29.93491072105946;12.8471584915935;43.08560695511158;6.849834070825098;
Atrio Seguros S.A.;23.780922473469;12.234092303574485;36.21709890976318;1.593956174048648;
Ávila C.A. de Seguros;1.9459638801575665;8.838382331853918;20.002728024186375;71.6874588207784;
Banesco Seguros C.A.;43.2280602573585;12.110522023042758;24.086905572197757;4.439652480062424;
BBVA Seguros C.A.;19.168959388307282;0;66.67114650206906;2.438745385186883;
Bolivariana de Seguros y Reaseguros S.A.;0.0018236686676405404;0;189.74430510741573;1217.9198295108583;
Capital C.A. Seguros;0.6363751095085127;0.757391663997625;41.78300740209696;14.501809586854375;
Carabobo C.A. Seguros;0;0;0;0;
Caracas C.A. Seguros;55.032278498281464;15.930227918068931;14.83882650138139;1.4338719559806885;
Caroní S.A. Seguros;6.139766125444076;31.40818811954569;197.5110773282502;15.078561354460648;
Catatumbo C.A. Seguros;7.156761574454233;15.678610543039486;50.86169314704829;67.81403382320099;
Constitución C.A. Seguros;37.07462075178494;10.722771982035976;30.33919763450687;2.8222118764803255;
Corporativos C.A. Seguros;129.1545679111659;7.92129923933461;259.3358602095101;24.335115934456898;
Estar Seguros S.A.;32.51770340596033;18.631301543740186;23.40298257229881;7.593277757716748;
Fe C.A. Seguros;24.387599332584053;0.07840586991518524;63.047989410036685;30.355810504317486;
Guayana C.A. Seguros;0;0;0;0;
Hispana de Seguros S.A.;44.67046442275656;13.53202185868587;24.664521171578663;3.378303602019194;
Horizonte S.A. Seguros;65.2033135270704;1.078280028299182;33.52343681300608;25.128720824526674;
Iberoamericana de Seguros C.A.;87.06898800672785;0;551.8647918821043;303351015.83;
Interbank Seguros S.A.;0;0;0;0;
Internacional S.A. de Seguros;40.965554462360615;17.007556721579718;20.861655393448615;1.8803820693863602;
Latitud Seguros C.A.;0;5.925041244285623;966.3483504633954;13.219347941309925;
Mapfre La Seguridad C.A. de Seguros;58.003820164658;18.90449120641018;23.310797125011327;2.2582900077599537;
Mercantil C.A. Seguros;57.28016781865344;13.945545160509479;14.481544009891781;5.915112413721296;
Miranda C.A Seguros;11.878876527081081;0;42.169315884574196;7.074199460821433;
Multinacional de Seguros C.A.;8.413110538077355;0.013079562122739986;491.73040333410324;159.75106190182794;
Mundial de Seguros C.A.;0.11336320406730369;10.802557095919957;57.624822043644755;2.9867229447055195;
Nuevo Mundo S.A. Seguros;37.349990031041976;19.354143618723416;50.77772423617937;13.533722253608408;
Occidental C.A. Seguros;8.786613785377991;26.033475254730796;147.5427810198404;9.972816093292387;
Oceánica de Seguros C.A.;35.26994887375269;14.26379140613269;14.786799967253788;2.2558289889992174;
Oriental de Seguros C.A.;0.18793807809327767;18.061130507326247;147.3675719193438;140.72392566538292;
Pirámide C.A. Seguros;40.94986971282238;18.2499999997895;16.24145761098898;5.718731483341209;
Previsora C.N.A. de Seguros;21.082824393952038;0.9391473139672082;83.00166133273464;369.0286676184285;
Primus Seguros C.A.;0;0;975.9031173822516;31.996637391162402;
Proseguros S.A.;3.691609355265451;21.074662911859413;36.49897646337577;5.983251265912527;
Qualitas C.A. Seguros;32.52117075709669;12.484916879984215;33.92104783738141;2.824797327826802;
Real Seguros S.A.;43.72621757423934;9.826474731302282;16.74384720736714;2.4047231126329907;
Regional C.A. de Seguros;0;0;0;0;
Universal de Seguros C.A.;11.616813180772926;12.164178013378095;153.94308432346853;12.102247170781466;
Universitas C.A. Seguros;36.23601528666171;17.816258086295136;28.404627955373453;2.730326002870732;
Venezolana de Seguros y Vida C.A.;19.91956135749437;9.398685858218826;50.94610136850939;2.464894321019465;
Venezuela C.A. Seguros;37.059778880667096;11.77705580057181;39.91458103349771;2.2841705603436315;
Vértice C.A Seguros;0.29011704288670426;8.04571402933741;40.90450507205601;69.25300012566865;
Virgen del Valle C.A. Seguros;18.95564040177708;0;56.814603734397885;7.035578816891951;
Vitalicia S.A. Seguros;0;0;54807426.92307693;339600.52631578944;
Vivir Seguros C.A.;2.877983929989015;13.296269626451439;46.38760404072442;5.251435194854032;
Zuma Seguros C.A.;0.01665550739319407;31.797617185731458;68.6541441430967;5.3464976285527035;
